i= 781 	idx= 199135
i= 390 	idx= 199525
i= 195 	idx= 199720
i= 98 	idx= 199818
i= 49 	idx= 199867
i= 24 	idx= 199891
i= 12 	idx= 199903
i= 6 	idx= 199909
i= 3 	idx= 199912
i= 2 	idx= 199914
i= 1 	idx= 199913
i= 0 	idx= 199912
i= 49978 	idx= 149935
i= 24989 	idx= 174924
i= 12495 	idx= 187419
i= 6247 	idx= 193666
i= 3124 	idx= 196790
i= 1562 	idx= 198352
i= 781 	idx= 199133
i= 390 	idx= 199523
i= 195 	idx= 199718
i= 98 	idx= 199816
i= 49 	idx= 199865
i= 24 	idx= 199889
i= 12 	idx= 199901
i= 6 	idx= 199907
i= 3 	idx= 199910
i= 2 	idx= 199912
i= 1 	idx= 199911
i= 0 	idx= 199911
i= 49978 	idx= 149934
i= 24989 	idx= 174923
i= 12495 	idx= 187418
i= 6247 	idx= 193665
i= 3124 	idx= 196789
i= 1562 	idx= 198351
i= 781 	idx= 199132
i= 390 	idx= 199522
i= 195 	idx= 199717
i= 98 	idx= 199815
i= 49 	idx= 199864
i= 24 	idx= 199888
i= 12 	idx= 199900
i= 6 	idx= 199906
i= 3 	idx= 199909
i= 2 	idx= 199911
i= 1 	idx= 199910
i= 0 	idx= 199910
i= 49978 	idx= 149934
i= 24989 	idx= 174923
i= 12494 	idx= 187417
i= 6247 	idx= 193664
i= 3124 	idx= 196788
i= 1562 	idx= 198350
i= 781 	idx= 199131
i= 390 	idx= 199521
i= 195 	idx= 199716
i= 98 	idx= 199814
i= 49 	idx= 199863
i= 24 	idx= 199887
i= 12 	idx= 199899
i= 6 	idx= 199905
i= 3 	idx= 199908
i= 2 	idx= 199910
i= 1 	idx= 199911
i= 0 	idx= 199910
i= 49978 	idx= 149934
i= 24989 	idx= 174923
i= 12494 	idx= 187417
i= 6247 	idx= 193664
i= 3124 	idx= 196788
i= 1562 	idx= 198350
i= 781 	idx= 199131
i= 390 	idx= 199521
i= 195 	idx= 199716
i= 98 	idx= 199814
i= 49 	idx= 199863
i= 24 	idx= 199887
i= 12 	idx= 199899
i= 6 	idx= 199905
i= 3 	idx= 199908
i= 2 	idx= 199910
i= 1 	idx= 199911
i= 0 	idx= 199910
i= 49978 	idx= 149934
i= 24989 	idx= 174923
i= 12494 	idx= 187417
i= 6247 	idx= 193664
i= 3124 	idx= 196788
i= 1562 	idx= 198350
i= 781 	idx= 199131
i= 390 	idx= 199521
i= 195 	idx= 199716
i= 98 	idx= 199814
i= 49 	idx= 199863
i= 24 	idx= 199887
i= 12 	idx= 199899
i= 6 	idx= 199905
i= 3 	idx= 199908
i= 2 	idx= 199910
i= 1 	idx= 199911
i= 0 	idx= 199910
i= 49978 	idx= 149934
i= 24989 	idx= 174923
i= 12494 	idx= 187417
i= 6247 	idx= 193664
i= 3124 	idx= 196788
i= 1562 	idx= 198350
i= 781 	idx= 199131
i= 390 	idx= 199521
i= 195 	idx= 199716
i= 98 	idx= 199814
i= 49 	idx= 199863
i= 24 	idx= 199887
i= 12 	idx= 199899
i= 6 	idx= 199905
i= 3 	idx= 199908
i= 2 	idx= 199910
i= 1 	idx= 199909
i= 0 	idx= 199908
i= 49977 	idx= 149932
i= 24989 	idx= 174921
i= 12494 	idx= 187415
i= 6247 	idx= 193662
i= 3124 	idx= 196786
i= 1562 	idx= 198348
i= 781 	idx= 199129
i= 390 	idx= 199519
i= 195 	idx= 199714
i= 98 	idx= 199812
